,WMATA Station,GIS Station Match,Match Score,final_match
0,Addison Road,Addison Road-Seat Pleasant,90,Addison Road-Seat Pleasant
1,Anacostia,Anacostia,100,Anacostia
2,Archives,Archives-Navy Memorial-Penn Quarter,90,Archives-Navy Memorial-Penn Quarter
3,Arlington Cemetery,Arlington Cemetery,100,Arlington Cemetery
4,Ashburn,Ashburn,100,Ashburn
5,Ballston-MU,Ballston-MU,100,Ballston-MU
6,Benning Road,Benning Road,100,Benning Road
7,Bethesda,Bethesda,100,Bethesda
8,Braddock Road,Braddock Road,100,Braddock Road
9,Branch Ave,Branch Ave,100,Branch Ave
10,Brookland-CUA,Brookland-CUA,100,Brookland-CUA
11,Capitol Heights,Capitol Heights,100,Capitol Heights
12,Capitol South,Capitol South,100,Capitol South
13,Cheverly,Cheverly,100,Cheverly
14,Clarendon,Clarendon,100,Clarendon
15,Cleveland Park,Cleveland Park,100,Cleveland Park
16,College Park-U of Md,College Park-U of Md,100,College Park-U of Md
17,Columbia Heights,Columbia Heights,100,Columbia Heights
18,Congress Heights,Congress Heights,100,Congress Heights
19,Court House,Court House,100,Court House
20,Crystal City,Crystal City,100,Crystal City
21,Deanwood,Deanwood,100,Deanwood
22,Downtown Largo,Downtown Largo,100,Downtown Largo
23,Dulles Airport,Ronald Reagan Washington National Airport,86,Washington Dulles International Airport
24,Dunn Loring,Dunn Loring-Merrifield,90,Dunn Loring-Merrifield
25,Dupont Circle,Dupont Circle,100,Dupont Circle
26,East Falls Church,East Falls Church,100,East Falls Church
27,Eastern Market,Eastern Market,100,Eastern Market
28,Eisenhower Ave,Eisenhower Ave,100,Eisenhower Ave
29,Farragut North,Farragut North,100,Farragut North
30,Farragut West,Farragut West,100,Farragut West
31,Federal Center SW,Federal Center SW,100,Federal Center SW
32,Federal Triangle,Federal Triangle,100,Federal Triangle
33,Foggy Bottom-GWU,Foggy Bottom-GWU,100,Foggy Bottom-GWU
34,Forest Glen,Forest Glen,100,Forest Glen
35,Fort Totten,Fort Totten,100,Fort Totten
36,Franconia-Springfield,Franconia-Springfield,100,Franconia-Springfield
37,Friendship Heights,Friendship Heights,100,Friendship Heights
38,Gallery Place,Gallery Pl-Chinatown,86,Gallery Pl-Chinatown
39,Georgia Ave-Petworth,Georgia Ave-Petworth,100,Georgia Ave-Petworth
40,Glenmont,Glenmont,100,Glenmont
41,Greenbelt,Greenbelt,100,Greenbelt
42,Greensboro,Greensboro,100,Greensboro
43,Grosvenor-Strathmore,Grosvenor-Strathmore,100,Grosvenor-Strathmore
44,Herndon,Herndon,100,Herndon
45,Huntington,Huntington,100,Huntington
46,Hyattsville Crossing,Hyattsville Crossing,100,Hyattsville Crossing
47,Innovation Center,Innovation Center,100,Innovation Center
48,Judiciary Square,Judiciary Square,100,Judiciary Square
49,King St-Old Town,King St-Old Town,100,King St-Old Town
50,L'Enfant Plaza,L'Enfant Plaza,100,L'Enfant Plaza
51,Landover,Landover,100,Landover
52,Loudoun Gateway,Loudoun Gateway,100,Loudoun Gateway
53,McLean,McLean,100,McLean
54,McPherson Sq,McPherson Sq,100,McPherson Sq
55,Medical Center,Medical Center,100,Medical Center
56,Metro Center,Metro Center,100,Metro Center
57,Minnesota Ave,Minnesota Ave,100,Minnesota Ave
58,Morgan Boulevard,Morgan Boulevard,100,Morgan Boulevard
59,Mt Vernon Sq,Mt Vernon Sq 7th St-Convention Center,90,Mt Vernon Sq 7th St-Convention Center
60,Navy Yard-Ballpark,Navy Yard-Ballpark,100,Navy Yard-Ballpark
61,Naylor Road,Naylor Road,100,Naylor Road
62,New Carrollton,New Carrollton,100,New Carrollton
63,NoMa-Gallaudet U,NoMa-Gallaudet U,100,NoMa-Gallaudet U
64,North Bethesda,North Bethesda,100,North Bethesda
65,Pentagon,Pentagon,100,Pentagon
66,Pentagon City,Pentagon City,100,Pentagon City
67,Potomac Ave,Potomac Ave,100,Potomac Ave
68,Potomac Yard,Potomac Yard,100,Potomac Yard
69,Reston Town Center,Reston Town Center,100,Reston Town Center
70,Rhode Island Ave,Rhode Island Ave-Brentwood,90,Rhode Island Ave-Brentwood
71,Rockville,Rockville,100,Rockville
72,Ronald Reagan Washington National Airport,Ronald Reagan Washington National Airport,100,Ronald Reagan Washington National Airport
73,Rosslyn,Rosslyn,100,Rosslyn
74,Shady Grove,Shady Grove,100,Shady Grove
75,Shaw-Howard U,Shaw-Howard U,100,Shaw-Howard U
76,Silver Spring,Silver Spring,100,Silver Spring
77,Smithsonian,Smithsonian,100,Smithsonian
78,Southern Ave,Southern Avenue,89,Southern Avenue
79,Spring Hill,Spring Hill,100,Spring Hill
80,Stadium-Armory,Stadium-Armory,100,Stadium-Armory
81,Suitland,Suitland,100,Suitland
82,Takoma,Takoma,100,Takoma
83,Tenleytown-AU,Tenleytown-AU,100,Tenleytown-AU
84,Twinbrook,Twinbrook,100,Twinbrook
85,Tysons,Tysons,100,Tysons
86,U Street,U Street/African-Amer Civil War Memorial/Cardozo,90,U Street/African-Amer Civil War Memorial/Cardozo
87,Union Station,Union Station,100,Union Station
88,Van Dorn Street,Van Dorn Street,100,Van Dorn Street
89,Van Ness-UDC,Van Ness-UDC,100,Van Ness-UDC
90,Vienna,Vienna/Fairfax-GMU,90,Vienna/Fairfax-GMU
91,Virginia Sq-GMU,Virginia Square-GMU,88,Virginia Square-GMU
92,Waterfront,Waterfront,100,Waterfront
93,West Falls Church,West Falls Church,100,West Falls Church
94,West Hyattsville,West Hyattsville,100,West Hyattsville
95,Wheaton,Wheaton,100,Wheaton
96,Wiehle-Reston East,Wiehle-Reston East,100,Wiehle-Reston East
97,Woodley Park,Woodley Park-Zoo/Adams Morgan,90,Woodley Park-Zoo/Adams Morgan
